filename,Track_length,Min_Alt_msl,Max_Alt_msl,Min_Speed,Max_Speed,Min_Alt_agl,Max_Alt_agl,trackId
58.csv,183,250.937580302358,1341.35731008276,148.509784743794,226.703744266682,166.919045322926,1341.35731008344,58
59.csv,183,682.332384645939,928.599291052669,156.45192799468,156.45192799468,680.160333474598,928.599291053486,59
60.csv,183,1093.0050197728,1135.01418936253,135.750026553096,137.735518434399,1093.00501977223,1093.00501977223,60
61.csv,183,2532.94559528679,2593.49297582731,163.358055633722,163.358055633722,2532.94559528628,2532.94559528628,61
62.csv,183,1798.97711101919,2850.90049831197,93.9752993683411,93.9752993683411,1788.685096237,2850.82728173632,62
63.csv,183,753.900667607784,1417.04976059496,119.543538016194,122.343474402607,728.638658736265,1412.97905856057,63
64.csv,183,7985.77496356517,8209.99700937793,61.7449418824416,91.9339361995506,7972.44367657179,8201.22753972964,64
65.csv,183,1547.41335669532,1568.69227622077,96.8259116961769,96.8259116961769,1547.41335669603,1547.41335669603,65
66.csv,183,2929.13994780183,2951.98941945285,92.2671932685096,108.859901090431,2929.13994780363,2929.13994780363,66
67.csv,183,1461.02830923721,1675.2150921002,35.4011062195482,163.138717444967,1461.02830923604,1658.39314776508,67
68.csv,183,529.149086330086,588.703634031117,106.134084888034,106.134084888034,529.149086330781,563.137101413384,68
69.csv,183,935.79482453689,1060.03954069316,6.09326141795109,125.639823552182,924.83602655253,1050.9922546763,69
70.csv,183,10382.006406717,10408.4141219556,107.888341941105,107.888341941105,10382.0064067157,10382.0064067157,70
71.csv,183,1325.59852739796,1490.22534405068,109.68264559833,123.452574234851,1325.59852739794,1460.03258861434,71
72.csv,183,587.169317562133,606.421511027962,108.208385754733,112.17231774582,587.169317562388,587.169317562388,72
73.csv,183,11408.2145528123,11460.1295877546,151.274779746611,151.274779746611,11408.2145528128,11408.2145528128,73
74.csv,183,4598.55165953189,4629.14726028219,118.294475211875,125.665781523057,4598.55165953222,4598.55165953222,74
75.csv,183,14461.3937399536,14482.8563511893,97.3155230479846,97.3155230479846,14461.3937399552,14461.3937399552,75
76.csv,183,1046.90669199079,1066.52548613772,93.9776146604542,93.9776146604542,1046.90669199121,1046.90669199121,76
77.csv,183,1767.68229296431,1805.34899383038,99.4705430520033,99.4705430520033,1745.22619408772,1784.8229085668,77
78.csv,183,1650.27993194759,2514.9973728396,67.8007549371938,67.8007549371938,1650.27993194922,2504.60390930998,78
79.csv,183,3966.63963315636,4367.80249258503,89.0967456982955,106.708016503283,3966.63963315681,4346.13960585096,79
80.csv,183,940.686815343797,998.679465029389,60.399796878789,60.399796878789,940.686815345033,990.401091383764,80
81.csv,183,4477.30472075194,5390.14726829156,88.8090453602193,89.6865503182144,4477.30472075251,5384.14557242398,81
82.csv,183,984.682452809066,1044.5091143772,162.352326932843,162.352326932843,984.682452808771,984.682452808771,82
83.csv,183,1748.51413431764,1956.63795390353,76.8929929356233,113.719793790011,1748.51413431807,1946.99861537406,83
84.csv,183,2750.52799243107,2766.44739407301,83.7515239723412,83.7515239723412,2750.527992432,2750.527992432,84
85.csv,183,4430.616917748,4449.10037921369,92.276252690302,92.276252690302,4413.45010413664,4430.61691774787,85
86.csv,183,2607.75273616984,2637.58207104728,114.643573547362,114.643573547362,2607.75273617019,2607.75273617019,86
87.csv,183,1095.92711957544,1360.83232332766,86.9526537373,86.9526537373,1095.92711957376,1343.67924017971,87
88.csv,183,16048.6464307904,16102.868885383,154.617269573917,154.617269573917,16048.6464307901,16048.6464307901,88
89.csv,183,2895.57636794448,2918.56420432404,99.3831457035715,103.553129482832,2895.57636794436,2895.57636794436,89
90.csv,183,2277.13061205298,2536.05437104777,87.2216971447963,87.2216971447963,2260.52949396463,2525.80394235775,90
91.csv,183,719.622885640711,783.410594146699,22.8745114320992,38.4109665145139,719.612061644778,783.41059414782,91
92.csv,183,762.349433898926,849.362106572837,165.380795519308,234.128954041641,734.546155732492,762.349433898741,92
93.csv,183,4949.29434335232,4954.09242353961,38.826959782563,84.5175447135897,4949.29434335257,4949.29434335257,93
94.csv,183,1175.52470849082,1196.35969490185,96.1821133541913,96.1821133541913,1175.52470849057,1175.52470849057,94
95.csv,183,1261.64375714958,1266.13164390624,49.0526595909748,49.0526595909748,1261.64375715062,1261.64375715062,95
96.csv,183,17025.9567152709,17050.8320231624,106.866410341855,106.866410341855,17025.9567152707,17025.9567152707,96
97.csv,183,1147.65119780228,1264.40054060519,62.4120751826404,62.4120751826404,1146.22294580039,1263.43965984051,97
98.csv,183,1956.69944828376,1963.58784321696,86.3601000748813,95.4104146880951,1956.69944828295,1956.69944828295,98
99.csv,183,8403.68380103633,9317.81190506741,213.452574139171,213.452574139171,8313.18382298809,9317.81190506781,99
100.csv,183,1560.96779567748,2775.47577184066,149.886752157337,149.886752157337,1560.96779567674,2724.70121404771,100
